"Analyt","Uniprot.ID_HECH11_IO_Plate01_11122021","LOD_HECH11_IO_Plate01_11122021","Missing.Data.freq._HECH11_IO_Plate01_11122021","Normalization_HECH11_IO_Plate01_11122021","LOD_HECH11_IO_Plate02_07172023","Missing.Data.freq._HECH11_IO_Plate02_07172023","Normalization_HECH11_IO_Plate02_07172023","LOD"
"IL8","P10145",0.939023000000001,"0","IPC Normalized",2.732887,"0","IPC Normalized",1.835955
"TNFRSF9","Q07011",0.808529,"0","IPC Normalized",1.708391,"0","IPC Normalized",1.25846
"TIE2","Q02763",0.719163,"0","IPC Normalized",0.901687000000001,"0","IPC Normalized",0.810425
"MCP-3","P80098",0.830262999999999,"0","IPC Normalized",0.981667,"0","IPC Normalized",0.905964999999999
"CD40-L","P29965",0.984395,"0","IPC Normalized",0.630285,"0","IPC Normalized",0.80734
"IL-1 alpha","P01583",1.51865,"0.93845999999999996","IPC Normalized",3.04518,"0.91666999999999998","IPC Normalized",2.281915
"CD244","Q9BZW8",1.641226,"0","IPC Normalized",0.767984,"0","IPC Normalized",1.204605
"EGF","P01133",0.692900000000001,"0","IPC Normalized",1.60041,"0","IPC Normalized",1.146655
"ANGPT1","Q15389",0.268069,"0","IPC Normalized",3.015121,"0","IPC Normalized",1.641595
"IL7","P13232",1.104327,"0","IPC Normalized",1.258573,"0","IPC Normalized",1.18145
"PGF","P49763",0.874426,"0","IPC Normalized",1.379694,"0","IPC Normalized",1.12706
"IL6","P05231",1.425337,"3.0769999999999999E-2","IPC Normalized",0.798242999999999,"0","IPC Normalized",1.11179
"ADGRG1","Q9Y653",0.788686,"0.30769000000000002","IPC Normalized",0.993524,"0.25","IPC Normalized",0.891105
"MCP-1","P13500",0.745871,"0","IPC Normalized",1.224129,"0","IPC Normalized",0.985
"CRTAM","O95727",0.606496,"0","IPC Normalized",0.617084,"0","IPC Normalized",0.61179
"CXCL11","O14625",0.918816999999998,"0","IPC Normalized",1.053483,"0","IPC Normalized",0.986149999999999
"MCP-4","Q99616",0.441371,"0","IPC Normalized",1.102679,"0","IPC Normalized",0.772025
"TRAIL","P50591",0.48825,"0","IPC Normalized",0.77261,"0","IPC Normalized",0.63043
"FGF2","P09038",0.216396,"0.64615","IPC Normalized",0.488254,"0.72221999999999997","IPC Normalized",0.352325
"CXCL9","Q07325",0.900062999999999,"0","IPC Normalized",0.445697,"0","IPC Normalized",0.672879999999999
"CD8A","P01732",0.675590999999999,"0","IPC Normalized",0.524029,"0","IPC Normalized",0.59981
"CAIX","Q16790",0.585592,"0","IPC Normalized",0.117998,"0","IPC Normalized",0.351795
"MUC-16","Q8WXI7",0.631124,"1.538E-2","IPC Normalized",1.717796,"0.72221999999999997","IPC Normalized",1.17446
"ADA","P00813",1.585374,"0","IPC Normalized",1.714916,"0","IPC Normalized",1.650145
"CD4","P01730",0.750012,"0","IPC Normalized",0.482888,"0","IPC Normalized",0.61645
"NOS3","P29474",1.785082,"0.10768999999999999","IPC Normalized",2.111728,"0.22222","IPC Normalized",1.948405
"IL2","P60568",2.137221,"1","IPC Normalized",2.036369,"1","IPC Normalized",2.086795
"Gal-9","O00182",1.067738,"0","IPC Normalized",1.462082,"0","IPC Normalized",1.26491
"VEGFR-2","P35968",0.90913,"0","IPC Normalized",1.07849,"0","IPC Normalized",0.99381
"CD40","P25942",1.640646,"0","IPC Normalized",0.534353999999999,"0","IPC Normalized",1.0875
"IL18","Q14116",1.683151,"0","IPC Normalized",2.034859,"0","IPC Normalized",1.859005
"GZMH","P20718",1.69132,"0","IPC Normalized",0.76015,"0","IPC Normalized",1.225735
"KIR3DL1","P43629",0.434017,"0.38462000000000002","IPC Normalized",1.013523,"0.69443999999999995","IPC Normalized",0.72377
"LAP TGF-beta-1","P01137",1.183144,"0","IPC Normalized",1.820446,"0","IPC Normalized",1.501795
"CXCL1","P09341",1.670371,"0","IPC Normalized",2.126779,"0","IPC Normalized",1.898575
"TNFSF14","O43557",1.174332,"0","IPC Normalized",1.485868,"0","IPC Normalized",1.3301
"IL33","O95760",-0.00207100000000005,"0.16922999999999999","IPC Normalized",0.790661,"0.72221999999999997","IPC Normalized",0.394295
"TWEAK","O43508",0.0669599999999997,"0","IPC Normalized",0.0538300000000002,"0","IPC Normalized",0.060395
"PDGF subunit B","P01127",0.692886999999999,"0","IPC Normalized",-0.258496999999999,"0","IPC Normalized",0.217195
"PDCD1","Q15116",1.796953,"0","IPC Normalized",2.541967,"0","IPC Normalized",2.16946
"FASLG","P48023",1.017389,"0","IPC Normalized",1.235791,"0","IPC Normalized",1.12659
"CD28","P10747",0.253274,"0.43076999999999999","IPC Normalized",1.049356,"0.86111000000000004","IPC Normalized",0.651315
"CCL19","Q99731",1.193599,"0","IPC Normalized",1.542581,"0","IPC Normalized",1.36809
"MCP-2","P80075",0.448652,"0","IPC Normalized",0.870148,"0","IPC Normalized",0.6594
"CCL4","P13236",0.968952,"0","IPC Normalized",0.643237999999999,"0","IPC Normalized",0.806095
"IL15","P40933",2.477786,"0","IPC Normalized",2.241824,"0","IPC Normalized",2.359805
"Gal-1","P09382",1.556188,"0","IPC Normalized",1.186222,"0","IPC Normalized",1.371205
"PD-L1","Q9NZQ7",1.972939,"0","IPC Normalized",0.426861000000001,"0","IPC Normalized",1.1999
"CD27","P26842",0.578585,"0","IPC Normalized",1.176685,"0","IPC Normalized",0.877635
"CXCL5","P42830",0.42435,"0","IPC Normalized",1.11701,"0","IPC Normalized",0.77068
"IL5","P05113",1.195734,"0.52307999999999999","IPC Normalized",1.556846,"0.75","IPC Normalized",1.37629
"HGF","P14210",1.387018,"0","IPC Normalized",1.069652,"0","IPC Normalized",1.228335
"GZMA","P12544",0.692032,"0","IPC Normalized",0.725718,"0","IPC Normalized",0.708875
"HO-1","P09601",2.253755,"0","IPC Normalized",3.919015,"0","IPC Normalized",3.086385
"CX3CL1","P78423",0.168671,"0","IPC Normalized",0.232679,"0","IPC Normalized",0.200675
"CXCL10","P02778",0.998762,"0","IPC Normalized",1.455238,"0","IPC Normalized",1.227
"CD70","P32970",0.138309,"0","IPC Normalized",1.420901,"0","IPC Normalized",0.779605
"IL10","P22301",1.600903,"0","IPC Normalized",1.226747,"0","IPC Normalized",1.413825
"TNFRSF12A","Q9NP84",0.651917,"0","IPC Normalized",-0.501507,"0","IPC Normalized",0.0752050000000002
"CCL23","P55773",0.821269000000001,"0","IPC Normalized",0.813271000000001,"0","IPC Normalized",0.817270000000001
"CD5","P06127",1.563048,"0","IPC Normalized",0.702972,"0","IPC Normalized",1.13301
"CCL3","P10147",1.455545,"0","IPC Normalized",1.952485,"0","IPC Normalized",1.704015
"MMP7","P09237",1.382117,"0","IPC Normalized",6.009583,"0","IPC Normalized",3.69585
"ARG1","P05089",2.81282,"0","IPC Normalized",4.25997,"0","IPC Normalized",3.536395
"NCR1","O76036",1.285485,"0","IPC Normalized",1.194015,"0","IPC Normalized",1.23975
