"sample_id","file_name","Plate.ID","QC.Deviation.from.median.Det.Ctrl","QC.Deviation.from.median.Inc.Ctrl","QC.Warning","ref_sample"
"RS05272016SE_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.0917626400000024,0.0126457800000015,"Pass","study_sample"
"TB05292018TC_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.11361949,0.04558398,"Pass","study_sample"
"MM10082018TM_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.0929886999999976,-0.0141997599999986,"Pass","study_sample"
"MM01112019VJ_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.064200790000001,0.00802084000000036,"Pass","study_sample"
"MM04192019YF_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.146802840000001,0.0697231800000004,"Pass","study_sample"
"MM_0257_BM_03_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.326501069999999,-0.198370749999999,"Warning","study_sample"
"MM_1951_BM_04_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.144891630000002,0.032896280000001,"Pass","study_sample"
"Takeda_Ctrl_15_P1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.0417733600000005,-0.0760469700000002,"Pass","ref_sample"
"P1_HDPlasma_1017_1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.107373059999997,-0.0810532299999984,"Pass","study_sample"
"TB12092016KL_T4","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.0286554300000024,-0.0236757199999982,"Pass","study_sample"
"TB06182018RS_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.109378359999999,-0.0617178100000011,"Pass","study_sample"
"MM10082018TM_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.105021990000001,0.0996732900000001,"Pass","study_sample"
"MM10132017WL_T3","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.104324990000002,0.0966445900000021,"Pass","study_sample"
"MM02152019JN_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.073296550000002,-0.00460019999999872,"Pass","study_sample"
"MM_0422_BM_02_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.212200550000002,0.277244710000002,"Pass","study_sample"
"MM_0590_BM_03_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0,-0.0192016499999994,"Pass","study_sample"
"P1_HDPlasma_1017_2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.00527927999999811,-0.0155835999999994,"Pass","study_sample"
"TB3040_T3","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.220418550000002,0.12320824,"Pass","study_sample"
"TB04052017KK_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.148603659999997,-0.12906263,"Pass","study_sample"
"TB11012017JH_T3","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.154585099999998,-0.0375746100000001,"Pass","study_sample"
"MM08082018SM_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.0810682299999978,0.0834029800000007,"Pass","study_sample"
"MM02152019JN_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.101856229999997,-0.140636989999999,"Pass","study_sample"
"MM05032018RK_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.263880139999998,-0.157852989999999,"Pass","study_sample"
"MM_0237_BM_03_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.087691190000001,0.0289223700000001,"Pass","study_sample"
"MM_0501_BM_04_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.389208210000001,0.101668620000002,"Warning","study_sample"
"RS05272016SE_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.155029670000003,0.0402745200000005,"Pass","study_sample"
"TB08112017JC_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.17760825,0.136793970000001,"Pass","study_sample"
"TB07262018HF_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.165332210000001,0.0909283599999995,"Pass","study_sample"
"MM12102018KD_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.13470783,0.10616491,"Pass","study_sample"
"MM08022018JO_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.173931709999998,-0.234694059999999,"Pass","study_sample"
"MM12062018MK_T3","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.0393525499999985,-0.22921794,"Pass","study_sample"
"MM_1951_BM_03_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.0901322100000019,0.0160023700000007,"Pass","study_sample"
"TB01092018VC_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.396472270000002,0.185962700000001,"Warning","study_sample"
"TB7083_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.209265800000002,0.100464230000002,"Pass","study_sample"
"TB11012017JH_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.110050440000002,0,"Pass","study_sample"
"TB08022018JO_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.15967816,0.11308442,"Pass","study_sample"
"MM12142018RH_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.176295830000003,-0.00635654999999957,"Pass","study_sample"
"MM04052017KK_T3","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.155034119999998,-0.149276869999998,"Pass","study_sample"
"MM01142019GB_T2","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.00157314999999869,-0.0710666699999987,"Pass","study_sample"
"MM_0255_BM_03_NA","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.185791420000003,0.0530543900000016,"Pass","study_sample"
"Takeda_Ctrl_2_P1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",-0.0465068199999994,-0.13178117,"Pass","ref_sample"
"TB3040_T5","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.284840840000001,0.054014669999999,"Pass","study_sample"
"TB05032018RK_T1","HECH11_IO_Plate01_11122021_NPX.xlsx","HECH11_IO_Plate01_11122021",0.011163530000001,0.0138736599999998,"Pass","study_sample"
