"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"IL8",7.3247,5.16361,6.15713,6.23102,5.34085,5.36252,6.86559,10.73508,4.80658,7.24174,5.37909,8.05901,6.2396,6.99885,6.95364,5.47475,4.8428,7.06099,5.64586,9.50425,5.19409,6.03494,4.73433,9.74736,12.78266,6.60605,6.44429,5.16113,6.19898,8.15269,6.01604,8.20836,6.28338,5.25577,6.36484,6.85159,7.16479,5.81106,6.91308,8.28663,13.82874,7.31349,5.60424,7.00614,6.78928,6.30921,5.3631,4.95859,9.70627,5.98223,5.60576,4.22285,5.8378,6.28513,5.52396,6.10772,11.91879,7.4916,6.3751,5.23931,9.86353,5.40232,7.37258,8.5961,13.61316,5.11801,5.17456,6.13615,7.21195,6.24501,7.01924,8.47299,7.02996,6.95881,6.5451,6.52668,6.05458,7.35555,6.25808,5.87255,7.64599,6.66322,6.18977,6.18662,6.74757,7.4154,7.26159,5.57529,7.46193,6.81455,6.61303,5.76469,6.68069,7.00866,6.7869,7.82113,11.91814,9.76929,13.62004,10.86546,13.62914
"TNFRSF9",7.68339,6.7606,6.26036,6.55568,6.55031,6.35004,5.80677,5.16431,5.61879,6.41725,6.31841,6.89465,6.6016,7.71765,6.30345,6.57811,5.72088,6.00368,6.20506,5.98892,5.4355,6.48579,6.06294,5.60181,6.03842,6.45435,6.27819,5.5034,6.09103,7.53309,6.79662,6.26811,6.33927,6.21023,6.37683,7.72195,7.06968,6.39672,6.54812,7.0889,5.4029,8.76556,6.34132,7.96606,6.53868,7.49198,7.57371,5.60334,4.92073,5.77057,6.26358,5.73232,6.15723,6.7437,6.4847,6.95248,4.98077,7.70932,7.02578,6.62742,6.63334,6.18279,6.9004,6.31204,5.99269,5.96309,5.89222,7.09372,6.54388,5.99955,6.46093,6.55998,6.69069,6.19998,6.00881,6.25086,5.66219,7.7518,6.90979,6.51678,7.23317,7.5078,7.79536,6.07492,5.98295,6.95304,7.28694,7.83889,6.72895,5.78496,6.31866,6.23847,5.47101,6.4202,6.65532,6.14798,5.17674,5.0194,5.38892,5.24772,5.62861
"TIE2",8.26366,7.43144,7.80533,7.47207,8.60907,7.56614,7.44424,6.64022,7.54918,7.77605,7.74576,8.23315,7.71031,8.27709,8.12775,7.96009,7.76927,7.96636,7.95603,7.90393,7.99082,7.73885,7.62416,7.9705,7.7854,8.3699,8.70319,8.39911,7.69298,7.79982,8.53922,7.89635,8.02736,7.96079,8.12877,8.09503,8.37032,7.88271,7.9451,8.12989,6.85682,8.27741,7.6481,8.46045,8.05505,8.02158,8.38374,7.66548,6.51523,7.59105,7.92987,8.06679,8.48039,7.87542,7.72069,8.21214,6.5045,8.13513,7.99906,7.83561,7.58899,7.98321,8.3165,7.78765,6.93353,7.93848,7.82145,8.23135,7.93204,8.24627,7.98083,7.97339,7.73581,7.79039,8.27323,7.77451,7.8694,8.54871,8.4229,7.7365,7.70221,7.97213,8.00635,7.40076,7.39747,7.74131,7.88579,8.40213,8.29644,8.27053,8.4718,7.70891,7.77397,7.84619,8.19218,8.34229,6.66549,6.55739,6.74904,6.77547,6.70294
"MCP.3",3.76059,3.13218,2.63602,1.22248,3.98183,3.10248,1.10538,12.23196,2.31341,3.72129,2.72254,3.19022,3.62209,4.13512,2.62731,2.4041,2.33091,3.68248,2.54277,4.45769,2.64272,3.19486,2.19371,4.16018,8.1791,3.54932,3.02156,3.18466,3.01239,3.43992,3.43783,1.7561,3.48196,3.2225,4.01425,3.60778,5.1072,2.9017,2.71036,3.41604,12.28637,3.85289,2.19743,2.97037,3.55505,5.04063,2.40575,3.20754,11.95699,3.14568,3.20595,2.58265,2.51628,3.17216,2.75917,2.83082,9.95739,2.85977,3.05738,3.18655,3.23299,2.41641,3.37041,2.46768,12.15608,2.5136,2.38807,2.36181,3.04262,3.42907,3.96125,2.88029,2.74758,3.1051,3.35308,1.85802,2.22536,4.20073,3.39151,2.83626,3.50827,2.62107,2.99626,2.51239,2.38662,2.97146,3.97389,2.47112,2.56223,2.96533,3.05845,3.59995,2.35773,3.59286,2.58272,3.40422,10.04508,11.91628,12.02925,12.30335,12.29486
"CD40.L",4.32342,5.74471,4.496,4.88182,5.9379,4.23404,3.5072,4.22444,6.45294,5.10746,4.46738,6.62872,6.18777,4.23096,6.333,4.48396,6.53502,4.06392,5.22874,3.51891,4.05104,2.85072,3.58422,5.81073,5.98831,2.32627,4.71914,6.30229,5.64702,3.70016,4.07424,4.55898,3.79164,4.76672,4.66934,4.44884,5.04419,5.18112,5.21774,3.92475,3.8765,4.88776,3.76401,4.89266,5.26552,4.96304,3.6571,5.09072,3.30269,3.40304,5.07113,4.62603,7.29163,4.57416,6.19927,5.69101,3.57017,3.86193,4.54658,3.74751,6.10064,4.44616,7.68096,5.14191,4.37856,5.65389,5.64977,4.61867,5.27277,4.62416,4.72771,5.25934,3.74484,4.67642,5.38528,5.03518,5.31672,4.73376,3.11783,4.93548,4.72039,4.81126,5.15967,2.86796,3.79167,5.02455,4.88706,3.46765,6.0168,4.14522,4.27966,3.97574,4.9116,3.11112,5.14131,5.54814,3.57874,3.41322,3.5839,4.48878,4.28773
"IL.1.alpha",0.72965,-0.28021,-0.36253,0.20274,0.01938,-0.56875,0.01328,1.88404,-0.52794,-0.27809,-0.79405,-0.3754,0.2749,-0.52781,-0.32457,-0.00297,-0.44437,-0.30378,0.03101,-0.23103,0.89492,-0.52026,-0.29905,0.61443,0.78217,-0.31828,0.13944,-0.10699,-0.3534,-0.22465,-0.27564,-0.17261,-0.04772,-0.22623,-0.27326,-0.06395,-0.35277,-0.04762,-0.65969,-0.47875,6.96763,-0.44044,-0.43432,-0.04193,-0.02515,-0.17425,-0.60045,-0.43254,1.67973,-0.15769,1.22265,-0.44279,-0.38215,0.03304,-0.35955,0.02132,0.79567,-0.2572,0.3552,-0.17864,-0.79549,-0.40101,-0.32347,-0.20832,7.04659,-1.08371,-2.04218,2.50986,-1.09978,0.24992,-0.3381,1.15112,3.04421,2.24006,0.17014,2.41922,2.3179,-1.07443,-0.0963,0.87684,2.82639,2.11463,0.77102,2.56357,-1.42799,-1.74628,-0.28729,0.99091,3.0621,2.20646,-0.04693,2.57251,-1.23265,-2.22207,-0.44687,1.22795,2.96492,2.30793,5.06302,2.74076,5.29703
"CD244",7.85351,6.11594,6.38902,7.16657,7.34201,6.22719,6.54555,5.59875,6.97599,7.32347,6.78327,7.07969,6.19866,8.05756,7.33473,6.37738,7.00606,6.62709,6.59089,5.42495,6.68679,7.13811,6.43588,6.61042,6.99941,6.79404,6.99859,6.99242,6.1348,6.0131,6.21741,6.73498,6.67904,6.52195,6.63919,6.64548,6.60453,6.44654,3.22559,6.84505,5.94027,6.93526,6.62849,7.6584,6.80873,6.6101,6.87825,6.3288,5.50635,6.2635,6.35212,6.34046,6.08325,6.46354,5.78425,7.29941,5.87763,6.38544,6.47071,6.05234,4.01945,6.18345,5.85908,6.4516,5.80797,6.47669,6.36163,6.19379,6.32381,5.88629,5.42144,6.03986,6.35269,5.88186,5.46006,5.71737,5.91607,6.52082,6.26684,6.3693,6.62378,6.47778,6.51494,6.04941,6.33812,6.06846,6.35833,6.46505,6.70426,6.18053,6.36469,6.14051,6.54005,6.46171,6.2589,6.10739,5.62256,5.84869,5.85116,5.69912,5.7094
"EGF",8.03868,8.61269,8.08235,8.306,9.30029,7.38954,7.42706,8.4105,9.17722,7.53638,7.16421,9.64504,8.7621,8.16197,10.19449,7.8564,9.33133,7.03017,8.3523,6.74972,6.74285,6.93388,6.24589,9.01516,10.09407,5.70147,7.50344,9.72202,8.86747,7.0634,7.91329,8.08718,8.78746,8.01951,8.51916,7.6629,7.92163,7.88763,7.34123,5.99637,8.03723,7.89847,7.77852,9.1474,9.29819,8.49514,7.51628,8.03336,7.66606,7.05774,7.58729,7.39631,9.62408,8.00674,8.91468,8.4806,7.87658,7.16643,8.14786,6.59761,8.85754,7.19723,8.99076,7.58736,8.22348,9.32296,9.24038,7.97925,7.46531,8.0092,8.32081,8.61934,7.27078,7.51899,8.84087,9.1073,8.27338,7.14123,5.56832,8.22417,8.30331,8.55264,8.10859,7.0077,7.6796,7.70078,7.93388,8.14637,10.21141,7.01815,7.8732,6.87075,8.44204,6.22834,8.21167,7.81097,7.91658,7.65362,7.96622,8.32122,8.35621
"ANGPT1",7.11626,8.09954,7.47593,8.4222,8.2397,6.89325,7.42038,8.0009,8.51563,7.49939,7.44981,9.2535,8.89979,8.93857,9.67716,8.2635,8.71427,6.58711,7.8846,6.76502,7.70205,7.41073,7.01268,7.94282,8.73502,5.60537,7.33987,8.97423,8.27422,6.29467,6.95467,7.88275,7.19421,7.14078,7.62487,7.16203,7.62613,8.81865,8.58505,6.89962,7.90133,8.13089,7.76511,8.95369,8.89811,7.53989,8.15276,7.1382,7.51898,6.21146,7.63758,7.24048,9.15468,8.08182,8.77597,8.15279,7.54107,6.99393,8.25136,6.6835,8.62342,8.36994,9.28163,7.6999,8.03089,8.63335,8.48991,8.28183,7.54185,8.80926,8.54196,8.46353,7.31684,7.83317,8.6147,9.06286,9.06826,7.42081,7.11259,8.79,8.21529,8.47869,9.21409,7.84229,7.97014,8.19045,8.0207,8.47485,9.67058,7.37587,7.42335,6.60339,6.83728,6.86159,8.50381,7.93538,7.62402,7.50524,7.79352,8.0598,8.01058
"IL7",3.38025,3.57741,3.55229,3.28732,4.10032,2.70435,3.10659,3.5607,4.48899,3.23394,3.12208,4.87048,4.12162,4.11845,4.52453,3.63304,4.50696,2.62592,3.67732,3.84781,3.28638,3.33956,2.97296,4.02721,3.3504,2.39923,3.62652,4.97932,3.81757,3.26317,3.46573,3.49403,3.59228,2.93828,3.84099,3.53284,5.22448,4.42549,4.18926,3.15865,3.35416,3.55999,3.43322,4.38663,4.23125,4.01139,3.42755,3.82692,3.35719,2.86852,3.77163,3.03203,5.15837,3.75492,3.84806,3.98362,3.15064,3.44388,3.39961,3.50833,4.04522,3.70655,4.71537,3.01289,3.81848,4.6625,4.60843,3.72339,3.82465,3.74358,3.22299,4.81666,3.54884,3.67858,3.99267,4.33892,4.47286,3.36821,3.07116,3.50315,3.70457,3.57091,4.28752,3.09789,3.3372,3.68021,4.18201,3.64994,4.55049,3.74768,3.73492,2.76595,3.43996,2.51603,3.95924,3.73115,3.23619,3.30249,3.47385,3.59291,3.6357
