"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"IL8",7.74614,5.58505,6.57857,6.65246,5.76229,5.78396,7.28703,11.15652,5.22802,7.66318,5.80053,8.48045,6.66104,7.42029,7.37508,5.89619,5.26424,7.48243,6.0673,9.92569,5.61553,6.45638,5.15577,10.1688,13.2041,7.02749,6.86573,5.58257,6.62042,8.57413,6.43748,8.6298,6.70482,5.67721,6.78628,7.27303,7.58623,6.2325,7.33452,8.70807,14.25018,7.73493,6.02568,7.42758,7.21072,6.73065,5.78454,5.38003,10.12771,6.40367,6.0272,4.64429,6.25924,6.70657,5.9454,6.52916,12.34023,7.91304,6.79654,5.66075,10.28497,5.82376,7.79402,9.01754,14.0346,4.69657,4.75312,5.71471,6.79051,5.82357,6.5978,8.05155,6.60852,6.53737,6.12366,6.10524,5.63314,6.93411,5.83664,5.45111,7.22455,6.24178,5.76833,5.76518,6.32613,6.99396,6.84015,5.15385,7.04049,6.39311,6.19159,5.34325,6.25925,6.58722,6.36546,7.39969,11.4967,9.34785,13.1986,10.44402,13.2077
"TNFRSF9",7.99933,7.07654,6.5763,6.87162,6.86625,6.66598,6.12271,5.48025,5.93473,6.73319,6.63435,7.21059,6.91754,8.03359,6.61939,6.89405,6.03682,6.31962,6.521,6.30486,5.75144,6.80173,6.37888,5.91775,6.35436,6.77029,6.59413,5.81934,6.40697,7.84903,7.11256,6.58405,6.65521,6.52617,6.69277,8.03789,7.38562,6.71266,6.86406,7.40484,5.71884,9.0815,6.65726,8.282,6.85462,7.80792,7.88965,5.91928,5.23667,6.08651,6.57952,6.04826,6.47317,7.05964,6.80064,7.26842,5.29671,8.02526,7.34172,6.94336,6.94928,6.49873,7.21634,6.62798,6.30863,5.64715,5.57628,6.77778,6.22794,5.68361,6.14499,6.24404,6.37475,5.88404,5.69287,5.93492,5.34625,7.43586,6.59385,6.20084,6.91723,7.19186,7.47942,5.75898,5.66701,6.6371,6.971,7.52295,6.41301,5.46902,6.00272,5.92253,5.15507,6.10426,6.33938,5.83204,4.8608,4.70346,5.07298,4.93178,5.31267
"TIE2",8.62399,7.79177,8.16566,7.8324,8.9694,7.92647,7.80457,7.00055,7.90951,8.13638,8.10609,8.59348,8.07064,8.63742,8.48808,8.32042,8.1296,8.32669,8.31636,8.26426,8.35115,8.09918,7.98449,8.33083,8.14573,8.73023,9.06352,8.75944,8.05331,8.16015,8.89955,8.25668,8.38769,8.32112,8.4891,8.45536,8.73065,8.24304,8.30543,8.49022,7.21715,8.63774,8.00843,8.82078,8.41538,8.38191,8.74407,8.02581,6.87556,7.95138,8.2902,8.42712,8.84072,8.23575,8.08102,8.57247,6.86483,8.49546,8.35939,8.19594,7.94932,8.34354,8.67683,8.14798,7.29386,7.57815,7.46112,7.87102,7.57171,7.88594,7.6205,7.61306,7.37548,7.43006,7.9129,7.41418,7.50907,8.18838,8.06257,7.37617,7.34188,7.6118,7.64602,7.04043,7.03714,7.38098,7.52546,8.0418,7.93611,7.9102,8.11147,7.34858,7.41364,7.48586,7.83185,7.98196,6.30516,6.19706,6.38871,6.41514,6.34261
"MCP.3",4.41677,3.78836,3.2922,1.87866,4.63801,3.75866,1.76156,12.88814,2.96959,4.37747,3.37872,3.8464,4.27827,4.7913,3.28349,3.06028,2.98709,4.33866,3.19895,5.11387,3.2989,3.85104,2.84989,4.81636,8.83528,4.2055,3.67774,3.84084,3.66857,4.0961,4.09401,2.41228,4.13814,3.87868,4.67043,4.26396,5.76338,3.55788,3.36654,4.07222,12.94255,4.50907,2.85361,3.62655,4.21123,5.69681,3.06193,3.86372,12.61317,3.80186,3.86213,3.23883,3.17246,3.82834,3.41535,3.487,10.61357,3.51595,3.71356,3.84273,3.88917,3.07259,4.02659,3.12386,12.81226,1.85742,1.73189,1.70563,2.38644,2.77289,3.30507,2.22411,2.0914,2.44892,2.6969,1.20184,1.56918,3.54455,2.73533,2.18008,2.85209,1.96489,2.34008,1.85621,1.73044,2.31528,3.31771,1.81494,1.90605,2.30915,2.40227,2.94377,1.70155,2.93668,1.92654,2.74804,9.3889,11.2601,11.37307,11.64717,11.63868
"CD40.L",5.03328,6.45457,5.20587,5.59168,6.64776,4.9439,4.21706,4.93431,7.1628,5.81732,5.17725,7.33858,6.89763,4.94082,7.04286,5.19382,7.24489,4.77379,5.93861,4.22877,4.7609,3.56058,4.29408,6.52059,6.69817,3.03613,5.42901,7.01215,6.35688,4.41002,4.7841,5.26885,4.5015,5.47659,5.37921,5.1587,5.75405,5.89098,5.92761,4.63461,4.58636,5.59762,4.47387,5.60252,5.97539,5.6729,4.36696,5.80059,4.01256,4.1129,5.78099,5.33589,8.00149,5.28402,6.90913,6.40087,4.28003,4.57179,5.25644,4.45737,6.8105,5.15602,8.39083,5.85177,5.08842,4.94402,4.9399,3.90881,4.56291,3.91429,4.01784,4.54947,3.03497,3.96656,4.67541,4.32532,4.60686,4.0239,2.40796,4.22561,4.01052,4.10139,4.4498,2.15809,3.0818,4.31469,4.17719,2.75778,5.30694,3.43536,3.56979,3.26587,4.20174,2.40125,4.43144,4.83827,2.86887,2.70335,2.87403,3.77891,3.57787
"IL.1.alpha",0.25897,-0.75089,-0.83321,-0.26794,-0.4513,-1.03943,-0.4574,1.41336,-0.99862,-0.74877,-1.26473,-0.84608,-0.19578,-0.99849,-0.79525,-0.47365,-0.91505,-0.77446,-0.43967,-0.70171,0.42424,-0.99094,-0.76973,0.14375,0.31149,-0.78896,-0.33124,-0.57767,-0.82408,-0.69533,-0.74632,-0.64329,-0.5184,-0.69691,-0.74394,-0.53463,-0.82345,-0.5183,-1.13037,-0.94943,6.49695,-0.91112,-0.905,-0.51261,-0.49583,-0.64493,-1.07113,-0.90322,1.20905,-0.62837,0.75197,-0.91347,-0.85283,-0.43764,-0.83023,-0.44936,0.32499,-0.72788,-0.11548,-0.64932,-1.26617,-0.87169,-0.79415,-0.679,6.57591,-0.61303,-1.5715,2.98054,-0.6291,0.7206,0.13258,1.6218,3.51489,2.71074,0.64082,2.8899,2.78858,-0.60375,0.37438,1.34752,3.29707,2.58531,1.2417,3.03425,-0.95731,-1.2756,0.18339,1.46159,3.53278,2.67714,0.42375,3.04319,-0.76197,-1.75139,0.02381,1.69863,3.4356,2.77861,5.5337,3.21144,5.76771
"CD244",8.14672,6.40915,6.68223,7.45978,7.63522,6.5204,6.83876,5.89196,7.2692,7.61668,7.07648,7.3729,6.49187,8.35077,7.62794,6.67059,7.29927,6.9203,6.8841,5.71816,6.98,7.43132,6.72909,6.90363,7.29262,7.08725,7.2918,7.28563,6.42801,6.30631,6.51062,7.02819,6.97225,6.81516,6.9324,6.93869,6.89774,6.73975,3.5188,7.13826,6.23348,7.22847,6.9217,7.95161,7.10194,6.90331,7.17146,6.62201,5.79956,6.55671,6.64533,6.63367,6.37646,6.75675,6.07746,7.59262,6.17084,6.67865,6.76392,6.34555,4.31266,6.47666,6.15229,6.74481,6.10118,6.18348,6.06842,5.90058,6.0306,5.59308,5.12823,5.74665,6.05948,5.58865,5.16685,5.42416,5.62286,6.22761,5.97363,6.07609,6.33057,6.18457,6.22173,5.7562,6.04491,5.77525,6.06512,6.17184,6.41105,5.88732,6.07148,5.8473,6.24684,6.1685,5.96569,5.81418,5.32935,5.55548,5.55795,5.40591,5.41619
"EGF",8.53058,9.10459,8.57425,8.7979,9.79219,7.88144,7.91896,8.9024,9.66912,8.02828,7.65611,10.13694,9.254,8.65387,10.68639,8.3483,9.82323,7.52207,8.8442,7.24162,7.23475,7.42578,6.73779,9.50706,10.58597,6.19337,7.99534,10.21392,9.35937,7.5553,8.40519,8.57908,9.27936,8.51141,9.01106,8.1548,8.41353,8.37953,7.83313,6.48827,8.52913,8.39037,8.27042,9.6393,9.79009,8.98704,8.00818,8.52526,8.15796,7.54964,8.07919,7.88821,10.11598,8.49864,9.40658,8.9725,8.36848,7.65833,8.63976,7.08951,9.34944,7.68913,9.48266,8.07926,8.71538,8.83106,8.74848,7.48735,6.97341,7.5173,7.82891,8.12744,6.77888,7.02709,8.34897,8.6154,7.78148,6.64933,5.07642,7.73227,7.81141,8.06074,7.61669,6.5158,7.1877,7.20888,7.44198,7.65447,9.71951,6.52625,7.3813,6.37885,7.95014,5.73644,7.71977,7.31907,7.42468,7.16172,7.47432,7.82932,7.86431
"ANGPT1",7.63874,8.62202,7.99841,8.94468,8.76218,7.41573,7.94286,8.52338,9.03811,8.02187,7.97229,9.77598,9.42227,9.46105,10.19964,8.78598,9.23675,7.10959,8.40708,7.2875,8.22453,7.93321,7.53516,8.4653,9.2575,6.12785,7.86235,9.49671,8.7967,6.81715,7.47715,8.40523,7.71669,7.66326,8.14735,7.68451,8.14861,9.34113,9.10753,7.4221,8.42381,8.65337,8.28759,9.47617,9.42059,8.06237,8.67524,7.66068,8.04146,6.73394,8.16006,7.76296,9.67716,8.6043,9.29845,8.67527,8.06355,7.51641,8.77384,7.20598,9.1459,8.89242,9.80411,8.22238,8.55337,8.11087,7.96743,7.75935,7.01937,8.28678,8.01948,7.94105,6.79436,7.31069,8.09222,8.54038,8.54578,6.89833,6.59011,8.26752,7.69281,7.95621,8.69161,7.31981,7.44766,7.66797,7.49822,7.95237,9.1481,6.85339,6.90087,6.08091,6.3148,6.33911,7.98133,7.4129,7.10154,6.98276,7.27104,7.53732,7.4881
"IL7",3.64967,3.84683,3.82171,3.55674,4.36974,2.97377,3.37601,3.83012,4.75841,3.50336,3.3915,5.1399,4.39104,4.38787,4.79395,3.90246,4.77638,2.89534,3.94674,4.11723,3.5558,3.60898,3.24238,4.29663,3.61982,2.66865,3.89594,5.24874,4.08699,3.53259,3.73515,3.76345,3.8617,3.2077,4.11041,3.80226,5.4939,4.69491,4.45868,3.42807,3.62358,3.82941,3.70264,4.65605,4.50067,4.28081,3.69697,4.09634,3.62661,3.13794,4.04105,3.30145,5.42779,4.02434,4.11748,4.25304,3.42006,3.7133,3.66903,3.77775,4.31464,3.97597,4.98479,3.28231,4.0879,4.39308,4.33901,3.45397,3.55523,3.47416,2.95357,4.54724,3.27942,3.40916,3.72325,4.0695,4.20344,3.09879,2.80174,3.23373,3.43515,3.30149,4.0181,2.82847,3.06778,3.41079,3.91259,3.38052,4.28107,3.47826,3.4655,2.49653,3.17054,2.24661,3.68982,3.46173,2.96677,3.03307,3.20443,3.32349,3.36628
"PGF",9.77442,9.42595,8.68473,9.46173,9.17619,8.623,8.97102,7.2153,8.18392,8.93135,8.88096,9.51992,9.19462,10.85357,9.50662,9.49958,8.2025,8.92208,9.00794,9.04636,8.47162,9.69679,8.56417,9.20264,9.09908,9.16062,9.3518,8.97504,8.71414,9.7452,8.97401,9.06731,8.69944,8.56747,9.51352,9.92614,9.2937,9.30389,9.29765,9.61745,7.16066,9.68298,9.16616,10.29558,9.71302,9.20859,9.49503,8.58932,6.91302,8.83143,9.90862,8.44638,9.33693,9.53756,9.36806,9.96228,6.89133,9.3808,10.81799,9.64347,8.97719,9.09215,9.87567,10.39805,7.32148,7.70203,7.60114,8.62048,8.59889,8.44824,8.11472,8.32655,8.23667,8.2686,8.20785,8.17127,7.91832,9.20214,8.54588,7.49289,7.86877,9.70324,9.2395,8.43434,8.81743,9.13957,9.11862,8.57989,8.50855,8.18412,8.40443,7.84897,8.46472,8.3749,8.63879,8.35612,5.98179,5.88381,6.06513,6.18875,6.30307
